"Code";"Name";"total;total;2018;[person]";"total;total;2019;[person]";"total;total;2020;[person]";"total;total;2021;[person]";"total;total;2022;[person]";"total;total;2023;[person]";
0405000;"Powiat golubsko-dobrzyński";10;12;14;13;9;15;
0406000;"Powiat grudziądzki";29;21;22;26;38;16;
0407000;"Powiat inowrocławski";37;22;29;28;31;27;
0408000;"Powiat lipnowski";39;39;41;39;32;31;
0409000;"Powiat mogileński";8;3;2;6;12;5;
0410000;"Powiat nakielski";18;16;14;13;13;11;
0411000;"Powiat radziejowski";10;7;9;9;7;7;
0412000;"Powiat rypiński";13;6;9;4;6;3;
0413000;"Powiat sępoleński";21;7;8;10;3;17;
0414000;"Powiat świecki";20;17;19;26;18;18;
0415000;"Powiat toruński";29;48;39;81;168;164;
0416000;"Powiat tucholski";11;6;5;4;7;12;
0417000;"Powiat wąbrzeski";6;9;7;12;5;19;
0418000;"Powiat włocławski";31;39;26;29;21;35;
0419000;"Powiat żniński";9;8;11;13;17;34;
0461000;"City with powiat status Bydgoszcz";78;99;105;84;84;82;
0462000;"City with powiat status Grudziądz";29;21;22;26;38;16;
0463000;"City with powiat status Toruń";29;48;39;81;168;164;
0464000;"City with powiat status Włocławek";31;39;26;29;21;35;
0601000;"Powiat bialski";47;44;57;48;69;54;
0602000;"Powiat biłgorajski";30;25;31;25;31;22;
0603000;"Powiat chełmski";32;38;28;33;32;32;
0604000;"Powiat hrubieszowski";24;17;24;13;18;25;
0605000;"Powiat janowski";16;16;19;27;6;8;
0606000;"Powiat krasnostawski";18;22;17;25;29;28;
0607000;"Powiat kraśnicki";52;45;25;36;23;18;
0608000;"Powiat lubartowski";27;22;25;32;31;35;
0609000;"Powiat lubelski";114;122;112;153;154;200;
0610000;"Powiat łęczyński";12;24;26;31;40;22;
0611000;"Powiat łukowski";28;32;48;36;31;58;
0612000;"Powiat opolski";22;27;17;26;22;19;
0613000;"Powiat parczewski";7;9;3;13;17;10;
0614000;"Powiat puławski";65;51;37;52;47;44;
0615000;"Powiat radzyński";15;10;19;16;17;16;
0616000;"Powiat rycki";12;12;11;9;10;7;
0617000;"Powiat świdnicki";19;19;29;19;35;21;
0618000;"Powiat tomaszowski";27;48;18;25;47;50;
0619000;"Powiat włodawski";6;12;10;14;18;15;
0620000;"Powiat zamojski";39;72;70;93;114;88;
0661000;"City with powiat status Biała Podlaska";47;44;57;48;69;54;
0662000;"City with powiat status Chełm";32;38;28;33;32;32;
0663000;"City with powiat status Lublin";114;122;112;153;154;200;
