"Code";"Name";"against life and health;2020;[-]";"against life and health;2021;[-]";"against life and health;2022;[-]";"against life and health;2023;[-]";"against property;2020;[-]";"against property;2021;[-]";"against property;2022;[-]";"against property;2023;[-]";
1005000;"Powiat łowicki";12;17;12;13;753;670;548;631;
1006000;"Powiat łódzki wschodni";22;13;22;13;564;486;627;735;
1007000;"Powiat opoczyński";38;30;20;28;426;467;437;328;
1008000;"Powiat pabianicki";22;31;20;14;1077;1248;1136;943;
1009000;"Powiat pajęczański";7;11;11;9;141;201;211;180;
1010000;"Powiat piotrkowski";17;22;14;22;269;304;812;432;
1011000;"Powiat poddębicki";24;17;24;22;175;191;221;244;
1012000;"Powiat radomszczański";49;52;47;27;729;762;804;655;
1013000;"Powiat rawski";25;6;11;12;413;374;289;596;
1014000;"Powiat sieradzki";49;34;23;49;566;994;899;894;
1015000;"Powiat skierniewicki";7;16;10;7;196;170;208;154;
1016000;"Powiat tomaszowski";36;44;41;38;1099;864;907;1674;
1017000;"Powiat wieluński";30;28;28;12;800;937;433;399;
1018000;"Powiat wieruszowski";4;9;9;7;193;261;199;260;
1019000;"Powiat zduńskowolski";10;5;18;6;357;416;542;1056;
1020000;"Powiat zgierski";58;54;38;50;1157;1549;1649;1396;
1021000;"Powiat brzeziński";5;4;8;8;167;165;220;198;
1061000;"City with powiat status Łódź";363;393;342;328;9014;11099;10577;10103;
1062000;"City with powiat status Piotrków Trybunalski";32;23;17;32;844;1081;1009;900;
1063000;"City with powiat status Skierniewice";23;15;12;17;538;618;565;590;
1201000;"Powiat bocheński";19;18;25;25;736;642;510;611;
1202000;"Powiat brzeski";24;23;17;18;640;539;1235;1018;
1203000;"Powiat chrzanowski";64;63;46;55;1055;1368;1900;1283;
1204000;"Powiat dąbrowski";14;6;7;10;363;353;417;543;
1205000;"Powiat gorlicki";43;16;26;36;492;493;494;654;
1206000;"Powiat krakowski";62;53;51;58;2036;1300;1182;1414;
1207000;"Powiat limanowski";22;20;24;18;445;1522;696;450;
1208000;"Powiat miechowski";7;13;9;6;245;425;455;373;
1209000;"Powiat myślenicki";32;20;25;26;483;666;788;490;
1210000;"Powiat nowosądecki";46;39;39;36;650;733;1207;902;
1211000;"Powiat nowotarski";62;62;54;51;799;821;2486;1098;
1212000;"Powiat olkuski";32;33;32;38;732;734;841;797;
1213000;"Powiat oświęcimski";62;40;60;62;1274;1050;1142;1050;
1214000;"Powiat proszowicki";10;8;6;9;100;112;135;101;
1215000;"Powiat suski";26;20;26;15;384;434;577;402;
1216000;"Powiat tarnowski";42;29;34;34;828;1699;1601;767;
1217000;"Powiat tatrzański";58;45;67;60;888;705;993;817;
1218000;"Powiat wadowicki";15;45;39;23;801;1104;833;925;
1219000;"Powiat wielicki";26;34;26;30;879;1135;1216;821;
1261000;"City with powiat status Kraków";244;226;231;300;9136;12966;13886;13990;
1262000;"City with powiat status Nowy Sącz";27;17;25;44;1415;1193;1548;1194;
1263000;"City with powiat status Tarnów";76;39;39;60;1236;1544;1559;1843;
1401000;"Powiat białobrzeski";5;11;6;5;162;174;337;202;
1402000;"Powiat ciechanowski";34;23;15;36;640;709;689;648;
1403000;"Powiat garwoliński";29;26;23;20;418;550;474;460;
1404000;"Powiat gostyniński";15;13;6;14;223;236;290;273;
1405000;"Powiat grodziski";19;20;22;16;889;883;1032;885;
1406000;"Powiat grójecki";38;43;47;47;718;796;1063;806;
1407000;"Powiat kozienicki";18;25;16;26;329;373;376;319;
1408000;"Powiat legionowski";45;58;33;37;1137;1600;1653;1363;
1409000;"Powiat lipski";10;9;10;11;92;97;131;107;
1410000;"Powiat łosicki";14;7;5;4;146;211;212;215;
1411000;"Powiat makowski";25;21;11;19;270;240;263;266;
1412000;"Powiat miński";48;32;47;51;761;964;902;880;
1413000;"Powiat mławski";36;45;47;42;444;596;630;744;
1414000;"Powiat nowodworski";34;27;24;36;784;725;918;791;
1415000;"Powiat ostrołęcki";36;30;20;21;211;296;331;452;
1416000;"Powiat ostrowski";25;25;23;28;623;459;861;505;
1417000;"Powiat otwocki";36;41;63;57;803;997;1019;1113;
1418000;"Powiat piaseczyński";53;61;58;56;1633;2138;2406;2244;
1419000;"Powiat płocki";22;14;18;16;394;493;474;575;
1420000;"Powiat płoński";27;20;20;19;669;912;841;704;
1421000;"Powiat pruszkowski";41;34;39;18;1705;2015;2038;2015;
1422000;"Powiat przasnyski";9;28;19;10;282;286;347;454;
1423000;"Powiat przysuski";3;4;8;9;168;236;166;165;
1424000;"Powiat pułtuski";23;32;17;18;366;436;640;453;
1425000;"Powiat radomski";39;31;45;40;605;741;742;823;
1426000;"Powiat siedlecki";15;16;16;15;237;450;417;363;
1427000;"Powiat sierpecki";9;7;12;8;336;330;238;189;
1428000;"Powiat sochaczewski";29;30;39;51;696;743;1000;1382;
1429000;"Powiat sokołowski";24;27;26;14;373;343;373;341;
1430000;"Powiat szydłowiecki";12;10;7;14;169;183;168;229;
1432000;"Powiat warszawski zachodni";32;23;23;18;1072;1553;1577;1163;
1433000;"Powiat węgrowski";32;13;22;16;263;467;920;317;
1434000;"Powiat wołomiński";93;100;95;91;3028;3329;5042;3889;
1435000;"Powiat wyszkowski";25;33;39;32;469;547;524;540;
1436000;"Powiat zwoleński";6;7;7;14;138;142;213;171;
1437000;"Powiat żuromiński";6;10;8;11;148;139;158;174;
1438000;"Powiat żyrardowski";34;38;19;36;966;919;942;914;
1461000;"City with powiat status Ostrołęka";22;25;20;24;591;602;446;522;
1462000;"City with powiat status Płock";34;22;28;23;1404;1424;1649;1468;
1463000;"City with powiat status Radom";85;84;80;72;2267;2234;2671;2526;
1464000;"City with powiat status Siedlce";29;27;27;28;761;926;881;746;
1465000;"City with powiat status Capital City Warszawa";517;496;474;519;29402;32643;35829;35918;
1601000;"Powiat brzeski";44;37;41;42;880;1136;990;1138;
1602000;"Powiat głubczycki";10;9;16;18;290;295;280;288;
1603000;"Powiat kędzierzyńsko-kozielski";22;30;28;23;590;627;573;615;
1604000;"Powiat kluczborski";34;32;25;16;406;504;490;445;
1605000;"Powiat krapkowicki";14;19;31;10;369;474;825;486;
1606000;"Powiat namysłowski";8;16;16;12;240;304;328;237;
1607000;"Powiat nyski";47;38;44;60;1461;1345;1182;1131;
1608000;"Powiat oleski";18;26;12;19;320;421;468;493;
1609000;"Powiat opolski";34;21;29;30;726;771;635;618;
1610000;"Powiat prudnicki";12;25;13;18;315;414;416;357;
1611000;"Powiat strzelecki";22;24;13;16;385;516;508;591;
1661000;"City with powiat status Opole";46;59;68;65;1338;1646;2029;1819;
1801000;"Powiat bieszczadzki";8;3;9;12;74;101;96;133;
1802000;"Powiat brzozowski";23;19;15;15;169;396;317;186;
1803000;"Powiat dębicki";29;29;35;25;679;996;909;952;
1804000;"Powiat jarosławski";24;37;34;24;440;470;449;398;
1805000;"Powiat jasielski";17;22;27;29;535;561;603;521;
1806000;"Powiat kolbuszowski";11;11;10;8;183;474;325;352;
1807000;"Powiat krośnieński";21;21;22;19;627;509;1089;428;
1808000;"Powiat leżajski";17;21;23;16;220;252;257;234;
1809000;"Powiat lubaczowski";15;12;13;9;126;160;157;163;
1810000;"Powiat łańcucki";21;33;24;26;274;544;415;514;
1811000;"Powiat mielecki";33;23;37;41;622;774;945;898;
1812000;"Powiat niżański";23;24;30;16;388;379;478;257;
1813000;"Powiat przemyski";16;13;18;16;239;299;448;244;
1814000;"Powiat przeworski";9;18;15;26;402;511;381;255;
1815000;"Powiat ropczycko-sędziszowski";18;19;11;33;475;403;389;308;
1816000;"Powiat rzeszowski";34;36;44;26;531;595;856;633;
1817000;"Powiat sanocki";53;49;47;34;665;593;539;477;
1818000;"Powiat stalowowolski";32;43;54;52;766;903;603;472;
1819000;"Powiat strzyżowski";8;13;13;8;172;228;224;207;
1820000;"Powiat tarnobrzeski";26;23;22;20;221;312;266;827;
1821000;"Powiat leski";9;9;4;6;140;98;189;137;
1861000;"City with powiat status Krosno";12;11;6;21;8148;2046;395;610;
1862000;"City with powiat status Przemyśl";21;30;36;33;435;550;705;499;
1863000;"City with powiat status Rzeszów";109;80;96;99;1627;2347;2000;2039;
1864000;"City with powiat status Tarnobrzeg";36;23;26;28;300;403;412;342;
2001000;"Powiat augustowski";26;18;19;19;258;218;257;428;
2002000;"Powiat białostocki";58;48;50;52;667;818;860;827;
2003000;"Powiat bielski";18;20;25;19;220;220;277;286;
2004000;"Powiat grajewski";17;27;23;19;200;227;250;257;
2005000;"Powiat hajnowski";18;23;17;15;246;270;188;220;
2006000;"Powiat kolneński";13;15;13;10;102;121;125;139;
2007000;"Powiat łomżyński";13;11;10;17;142;148;159;384;
2008000;"Powiat moniecki";25;15;13;13;92;110;169;172;
2009000;"Powiat sejneński";6;4;16;11;61;209;109;87;
2010000;"Powiat siemiatycki";18;17;21;14;183;172;152;213;
2011000;"Powiat sokólski";30;34;46;22;303;216;288;990;
2012000;"Powiat suwalski";7;10;8;13;134;105;118;101;
2013000;"Powiat wysokomazowiecki";25;28;20;14;253;214;217;230;
2014000;"Powiat zambrowski";21;32;36;31;223;259;246;234;
2061000;"City with powiat status Białystok";172;136;126;130;2977;2947;3145;2648;
2062000;"City with powiat status Łomża";25;19;42;36;605;784;644;655;
2063000;"City with powiat status Suwałki";38;20;43;22;699;623;728;899;
2201000;"Powiat bytowski";27;26;29;24;509;539;488;415;
2202000;"Powiat chojnicki";24;30;30;25;868;753;721;637;
2203000;"Powiat człuchowski";16;8;13;14;274;322;332;358;
2204000;"Powiat gdański";41;43;32;46;1754;1585;1504;1478;
2205000;"Powiat kartuski";31;41;30;36;1212;1311;1150;1008;
2206000;"Powiat kościerski";32;18;21;20;387;526;588;485;
2207000;"Powiat kwidzyński";45;26;30;31;597;716;678;608;
2208000;"Powiat lęborski";27;21;11;16;622;700;930;779;
